Date,Close,Volume
2016-01-13,46.32,0
2016-01-14,45.18,0
2016-01-15,49.81,0
2016-01-19,49.56,0
2016-01-20,51.09,0
2016-01-21,52.29,0
2016-01-22,49.31,0
2016-01-25,50.97,0
2016-01-26,48.86,0
2016-01-27,46.09,0
2016-01-28,45.25,0
2016-01-29,42.95,0
2016-02-01,44.99,0
2016-02-02,49.19,0
2016-02-03,50.97,0
2016-02-04,50.94,0
2016-02-05,52.72,0
2016-02-08,55.7,0
2016-02-09,56.35,0
2016-02-10,53.0,0
2016-02-11,55.61,0
2016-02-12,53.1,0
2016-02-16,52.07,0
2016-02-17,51.26,0
2016-02-18,49.74,0
2016-02-19,48.05,0
2016-02-22,46.92,0
2016-02-23,47.21,0
2016-02-24,49.04,0
2016-02-25,48.18,0
2016-02-26,48.26,0
2016-02-29,48.48,0
2016-03-01,46.97,0
2016-03-02,46.83,0
2016-03-03,49.0,0
2016-03-04,53.09,0
2016-03-07,52.37,0
2016-03-08,53.03,0
2016-03-09,52.16,0
2016-03-10,51.78,0
2016-03-11,51.17,0
2016-03-14,50.68,0
2016-03-15,54.26,0
2016-03-16,52.93,0
2016-03-17,54.7,0
2016-03-18,51.96,0
2016-03-21,49.76,0
2016-03-22,48.63,0
2016-03-23,52.19,0
2016-03-24,53.71,0
2016-03-28,54.48,0
2016-03-29,52.2,0
2016-03-30,50.02,0
2016-03-31,51.49,0
2016-04-01,50.94,0
2016-04-04,55.37,0
2016-04-05,57.2,0
2016-04-06,56.59,0
2016-04-07,53.18,0
2016-04-08,53.93,0
2016-04-11,58.05,0
2016-04-12,57.79,0
2016-04-13,55.63,0
2016-04-14,52.41,0
2016-04-15,55.43,0
2016-04-18,47.77,0
2016-04-19,44.69,0
2016-04-20,44.3,0
2016-04-21,44.24,0
2016-04-22,42.55,0
2016-04-25,43.41,0
2016-04-26,40.72,0
2016-04-27,40.27,0
2016-04-28,40.26,0
2016-04-29,40.81,0
2016-05-02,43.09,0
2016-05-03,44.3,0
2016-05-04,42.73,0
2016-05-05,43.2,0
2016-05-06,43.09,0
2016-05-09,45.53,0
2016-05-10,42.03,0
2016-05-11,41.43,0
2016-05-12,40.81,0
2016-05-13,44.1,0
2016-05-16,43.4,0
2016-05-17,43.64,0
2016-05-18,44.05,0
2016-05-19,43.19,0
2016-05-20,41.89,0
2016-05-23,43.27,0
2016-05-24,42.77,0
2016-05-25,42.53,0
2016-05-26,40.89,0
2016-05-27,40.02,0
2016-05-31,40.49,0
2016-06-01,38.6,0
2016-06-02,37.61,0
2016-06-03,36.53,0
2016-06-06,37.1,0
2016-06-07,36.36,0
2016-06-08,36.38,0
2016-06-09,37.71,0
2016-06-10,41.06,0
2016-06-13,42.94,0
2016-06-14,44.73,0
2016-06-15,42.49,0
2016-06-16,43.27,0
2016-06-17,42.64,0
2016-06-20,41.15,0
2016-06-21,40.95,0
2016-06-22,43.52,0
2016-06-23,39.76,0
2016-06-24,42.22,0
2016-06-27,42.22,0
2016-06-28,38.62,0
2016-06-29,36.93,0
2016-06-30,36.61,0
2016-07-01,36.0,0
2016-07-05,38.37,0
2016-07-06,37.82,0
2016-07-07,37.0,0
2016-07-08,36.26,0
2016-07-11,35.5,0
2016-07-12,35.6,0
2016-07-13,34.59,0
2016-07-14,34.42,0
2016-07-15,34.24,0
2016-07-18,34.08,0
2016-07-19,33.12,0
2016-07-20,32.66,0
2016-07-21,33.0,0
2016-07-22,32.37,0
2016-07-25,33.61,0
2016-07-26,33.17,0
2016-07-27,32.19,0
2016-07-28,32.73,0
2016-07-29,31.42,0
2016-08-01,33.06,0
2016-08-02,33.61,0
2016-08-03,33.03,0
2016-08-04,33.3,0
2016-08-05,33.0,0
2016-08-08,33.56,0
2016-08-09,32.82,0
2016-08-10,33.15,0
2016-08-11,31.89,0
2016-08-12,31.82,0
2016-08-15,32.37,0
2016-08-16,33.64,0
2016-08-17,33.18,0
2016-08-18,32.4,0
2016-08-19,31.6,0
2016-08-22,32.9,0
2016-08-23,32.43,0
2016-08-24,33.52,0
2016-08-25,34.17,0
2016-08-26,33.78,0
2016-08-29,32.96,0
2016-08-30,33.53,0
2016-08-31,33.06,0
2016-09-01,32.71,0
2016-09-02,30.58,0
2016-09-06,31.17,0
2016-09-07,30.77,0
2016-09-08,30.98,0
2016-09-09,34.31,0
2016-09-12,33.96,0
2016-09-13,38.32,0
2016-09-14,38.32,0
2016-09-15,37.38,0
2016-09-16,36.18,0
2016-09-19,36.55,0
2016-09-20,36.73,0
2016-09-21,32.48,0
2016-09-22,32.26,0
2016-09-23,32.91,0
2016-09-26,34.86,0
2016-09-27,33.16,0
2016-09-28,31.75,0
2016-09-29,35.04,0
2016-09-30,33.63,0
2016-10-03,33.61,0
2016-10-04,34.79,0
2016-10-05,35.26,0
2016-10-06,35.02,0
2016-10-07,34.22,0
2016-10-10,34.17,0
2016-10-11,35.3,0
2016-10-12,35.53,0
2016-10-13,35.01,0
2016-10-14,34.08,0
2016-10-17,32.99,0
2016-10-18,31.41,0
2016-10-19,31.46,0
2016-10-20,29.9,0
2016-10-21,29.46,0
2016-10-24,29.42,0
2016-10-25,28.99,0
2016-10-26,30.35,0
2016-10-27,30.63,0
2016-10-28,31.43,0
2016-10-31,32.05,0
2016-11-01,36.12,0
2016-11-02,37.37,0
2016-11-03,38.1,0
2016-11-04,38.92,0
2016-11-07,36.7,0
2016-11-08,35.72,0
2016-11-09,34.23,0
2016-11-10,41.21,0
2016-11-11,45.24,0
2016-11-14,46.31,0
2016-11-15,42.97,0
2016-11-16,42.4,0
2016-11-17,39.76,0
2016-11-18,39.37,0
2016-11-21,36.65,0
2016-11-22,35.69,0
2016-11-23,36.01,0
2016-11-25,37.68,0
2016-11-28,38.08,0
2016-11-29,38.92,0
2016-11-30,38.53,0
2016-12-01,44.98,0
2016-12-02,42.87,0
2016-12-05,39.49,0
2016-12-06,37.73,0
2016-12-07,37.08,0
2016-12-08,37.53,0
2016-12-09,37.79,0
2016-12-12,40.17,0
2016-12-13,37.29,0
2016-12-14,38.12,0
2016-12-15,35.92,0
2016-12-16,36.16,0
2016-12-19,35.6,0
2016-12-20,35.53,0
2016-12-21,35.3,0
2016-12-22,35.07,0
2016-12-23,34.35,0
2016-12-27,35.4,0
2016-12-28,35.16,0
2016-12-29,34.32,0
2016-12-30,35.57,0
2017-01-03,35.65,0
2017-01-04,34.66,0
2017-01-05,33.98,0
2017-01-06,34.22,0
2017-01-09,34.79,0
2017-01-10,33.62,0
2017-01-11,33.87,0
2017-01-12,32.74,0
2017-01-13,32.13,0
2017-01-17,32.87,0
2017-01-18,33.02,0
2017-01-19,33.03,0
2017-01-20,29.57,0
2017-01-23,29.33,0
2017-01-24,29.27,0
2017-01-25,28.65,0
2017-01-26,29.79,0
2017-01-27,28.79,0
2017-01-30,31.45,0
2017-01-31,31.41,0
2017-02-01,30.32,0
2017-02-02,29.17,0
2017-02-03,27.98,0
2017-02-06,28.47,0
2017-02-07,27.8,0
2017-02-08,26.34,0
2017-02-09,26.39,0
2017-02-10,26.37,0
2017-02-13,26.34,0
2017-02-14,26.49,0
2017-02-15,27.18,0
2017-02-16,27.26,0
2017-02-17,27.07,0
2017-02-21,27.12,0
2017-02-22,27.91,0
2017-02-23,28.58,0
2017-02-24,30.09,0
2017-02-27,30.42,0
2017-02-28,32.27,0
2017-03-01,31.32,0
2017-03-02,33.46,0
2017-03-03,33.21,0
2017-03-06,32.65,0
2017-03-07,31.36,0
2017-03-08,33.08,0
2017-03-09,33.21,0
2017-03-10,32.55,0
2017-03-13,30.69,0
2017-03-14,31.3,0
2017-03-15,30.24,0
2017-03-16,29.9,0
2017-03-17,29.77,0
2017-03-20,30.07,0
2017-03-21,33.3,0
2017-03-22,34.35,0
2017-03-23,35.68,0
2017-03-24,34.59,0
2017-03-27,35.55,0
2017-03-28,33.68,0
2017-03-29,32.02,0
2017-03-30,31.53,0
2017-03-31,30.75,0
2017-04-03,30.6,0
2017-04-04,29.69,0
2017-04-05,30.62,0
2017-04-06,31.65,0
2017-04-07,31.6,0
2017-04-10,32.17,0
2017-04-11,33.96,0
2017-04-12,34.03,0
2017-04-13,34.94,0
2017-04-17,34.54,0
2017-04-18,34.9,0
2017-04-19,35.7,0
2017-04-20,35.64,0
2017-04-21,35.7,0
2017-04-24,29.56,0
2017-04-25,29.6,0
2017-04-26,31.5,0
2017-04-27,30.27,0
2017-04-28,29.91,0
2017-05-01,29.79,0
2017-05-02,30.2,0
2017-05-03,30.21,0
2017-05-04,31.98,0
2017-05-05,31.36,0
2017-05-08,31.81,0
2017-05-09,31.41,0
2017-05-10,31.97,0
2017-05-11,32.87,0
2017-05-12,31.46,0
2017-05-15,32.5,0
2017-05-16,32.23,0
2017-05-17,36.41,0
2017-05-18,50.34,0
2017-05-19,43.79,0
2017-05-22,43.89,0
2017-05-23,41.4,0
2017-05-24,41.14,0
2017-05-25,42.49,0
2017-05-26,40.6,0
2017-05-30,38.62,0
2017-05-31,38.29,0
2017-06-01,38.48,0
2017-06-02,37.69,0
2017-06-05,37.51,0
2017-06-06,36.13,0
2017-06-07,34.9,0
2017-06-08,35.23,0
2017-06-09,35.93,0
2017-06-12,37.37,0
2017-06-13,33.19,0
2017-06-14,32.9,0
2017-06-15,32.33,0
2017-06-16,30.25,0
2017-06-19,31.2,0
2017-06-20,33.55,0
2017-06-21,34.25,0
2017-06-22,30.94,0
2017-06-23,29.95,0
2017-06-26,30.99,0
2017-06-27,32.7,0
2017-06-28,31.67,0
2017-06-29,32.28,0
2017-06-30,30.62,0
2017-07-03,30.18,0
2017-07-05,29.32,0
2017-07-06,30.96,0
2017-07-07,30.23,0
2017-07-10,29.8,0
2017-07-11,29.19,0
2017-07-12,28.72,0
2017-07-13,26.98,0
2017-07-14,26.07,0
2017-07-17,26.07,0
2017-07-18,26.58,0
2017-07-19,26.27,0
2017-07-20,24.87,0
2017-07-21,25.26,0
2017-07-24,25.66,0
2017-07-25,25.01,0
2017-07-26,24.64,0
2017-07-27,25.33,0
2017-07-28,25.22,0
2017-07-31,25.31,0
2017-08-01,24.78,0
2017-08-02,24.92,0
2017-08-03,24.94,0
2017-08-04,24.33,0
2017-08-07,24.39,0
2017-08-08,25.18,0
2017-08-09,25.94,0
2017-08-10,28.91,0
2017-08-11,27.87,0
2017-08-14,25.89,0
2017-08-15,25.09,0
2017-08-16,23.86,0
2017-08-17,25.21,0
2017-08-18,24.7,0
2017-08-21,26.12,0
2017-08-22,25.85,0
2017-08-23,25.44,0
2017-08-24,25.37,0
2017-08-25,25.08,0
2017-08-28,25.66,0
2017-08-29,25.38,0
2017-08-30,25.71,0
2017-08-31,25.24,0
2017-09-01,24.64,0
2017-09-05,27.43,0
2017-09-06,27.07,0
2017-09-07,26.43,0
2017-09-08,27.43,0
2017-09-11,29.39,0
2017-09-12,29.71,0
2017-09-13,29.88,0
2017-09-14,29.17,0
2017-09-15,28.88,0
2017-09-18,28.28,0
2017-09-19,28.39,0
2017-09-20,28.68,0
2017-09-21,28.87,0
2017-09-22,28.69,0
2017-09-25,31.38,0
2017-09-26,31.11,0
2017-09-27,32.75,0
2017-09-28,31.88,0
2017-09-29,30.63,0
2017-10-02,30.77,0
2017-10-03,28.07,0
2017-10-04,28.06,0
2017-10-05,29.07,0
2017-10-06,30.34,0
2017-10-09,32.17,0
2017-10-10,29.57,0
2017-10-11,28.95,0
2017-10-12,28.94,0
2017-10-13,27.27,0
2017-10-16,28.0,0
2017-10-17,27.1,0
2017-10-18,27.43,0
2017-10-19,28.05,0
